	D01E01C	D01E01D	D01E01I	D01E01J	D01E02C	D01E02D	D01E02I	D01E02J	D01E03C	D01E03D	D01E03I	D01E03J	D01E04C	D01E04D	D01E04I	D01E04J	D01E05C	D01E05D	D01E05I	D01E05J	D01E06C	D01E06D	D01E06I	D01E06J	D01E07C	D01E07D	D01E07I	D01E07J	D01E08C	D01E08D	D01E08I	D01E08J	D01E09C	D01E09D	D01E09I	D01E09J	D01E10C	D01E10D	D01E10I	D01E10J	D04E01C	D04E01D	D04E01I	D04E01J	D04E02C	D04E02D	D04E02I	D04E02J	D04E03C	D04E03D	D04E03I	D04E03J	D04E04C	D04E04D	D04E04I	D04E04J	D04E05C	D04E05D	D04E05I	D04E05J	D04E06C	D04E06D	D04E06I	D04E06J	D04E07C	D04E07D	D04E07I	D04E07J	D04E08C	D04E08D	D04E08I	D04E08J	D04E09C	D04E09D	D04E09I	D04E09J	D04E10C	D04E10D	D04E10I	D04E10J	D07E01C	D07E01D	D07E01I	D07E01J	D07E02C	D07E02D	D07E02I	D07E02J	D07E03C	D07E03D	D07E03I	D07E03J	D07E04C	D07E04D	D07E04I	D07E04J	D07E05C	D07E05D	D07E05I	D07E05J	D07E06C	D07E06D	D07E06I	D07E06J	D07E07C	D07E07D	D07E07I	D07E07J	D07E08C	D07E08D	D07E08I	D07E08J	D07E09C	D07E09D	D07E09I	D07E09J	D07E10C	D07E10D	D07E10I	D07E10J	D14E01C	D14E01D	D14E01I	D14E01J	D14E02C	D14E02D	D14E02I	D14E02J	D14E03C	D14E03D	D14E03I	D14E03J	D14E04C	D14E04D	D14E04I	D14E04J	D14E05C	D14E05D	D14E05I	D14E05J	D14E06C	D14E06D	D14E06I	D14E06J	D14E07C	D14E07D	D14E07I	D14E07J	D14E08C	D14E08D	D14E08I	D14E08J	D14E09C	D14E09D	D14E09I	D14E09J	D14E10C	D14E10D	D14E10I	D14E10J	D21E01C	D21E01D	D21E01I	D21E01J	D21E02C	D21E02D	D21E02I	D21E02J	D21E03C	D21E03D	D21E03I	D21E03J	D21E04C	D21E04D	D21E04I	D21E04J	D21E05C	D21E05D	D21E05I	D21E05J	D21E06C	D21E06D	D21E06I	D21E06J	D21E07C	D21E07D	D21E07I	D21E07J	D21E08C	D21E08D	D21E08I	D21E08J	D21E09C	D21E09D	D21E09I	D21E09J	D21E10C	D21E10D	D21E10I	D21E10J	D28E01C	D28E01D	D28E01I	D28E01J	D28E02C	D28E02D	D28E02I	D28E02J	D28E03C	D28E03D	D28E03I	D28E03J	D28E04C	D28E04D	D28E04I	D28E04J	D28E05C	D28E05D	D28E05I	D28E05J	D28E06C	D28E06D	D28E06I	D28E06J	D28E07C	D28E07D	D28E07I	D28E07J	D28E08C	D28E08D	D28E08I	D28E08J	D28E09C	D28E09D	D28E09I	D28E09J	D28E10C	D28E10D	D28E10I	D28E10J	D35E01C	D35E01D	D35E01I	D35E01J	D35E02C	D35E02D	D35E02I	D35E02J	D35E03C	D35E03D	D35E03I	D35E03J	D35E04C	D35E04D	D35E04I	D35E04J	D35E05C	D35E05D	D35E05I	D35E05J	D35E06C	D35E06D	D35E06I	D35E06J	D35E07C	D35E07D	D35E07I	D35E07J	D35E08C	D35E08D	D35E08I	D35E08J	D35E09C	D35E09D	D35E09I	D35E09J	D35E10C	D35E10D	D35E10I	D35E10J	D42E01C	D42E01D	D42E01I	D42E01J	D42E02C	D42E02D	D42E02I	D42E02J	D42E03C	D42E03D	D42E03I	D42E03J	D42E04C	D42E04D	D42E04I	D42E04J	D42E05C	D42E05D	D42E05I	D42E05J	D42E06C	D42E06D	D42E06I	D42E06J	D42E07C	D42E07D	D42E07I	D42E07J	D42E08C	D42E08D	D42E08I	D42E08J	D42E09C	D42E09D	D42E09I	D42E09J	D42E10C	D42E10D	D42E10I	D42E10J
genus156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1279	0	0	0	809	5	0	0	1083	0	0	0	546	0	0	0	238	0	4	0	1217	21	184	0	1086	6	0	58	107	0	0	3	1024	0	358	0	1150	0	783	29	482	0	0	64	772	2	0	0	253	0	0	0	609	0	0	0	673	0	0	0	407	0	0	0	1229	0	0	0	718	0	0	0	626	0	0	7	899	0	0	0	11	0	0	0	3147	0	0	0	551	0	0	0	3326	0	0	0	247	0	46	0	1161	0	281	0	11231	0	0	0	124	0	0	0	3042	0	0	51	188	0	0	0	3571	14	0	0	12	0	0	0	0	0	0	0	57	0	0	0	6065	0	0	0	1285	0	136	0	776	0	39	0	115	0	30	0	11064	24	0	0	2185	0	0	0	1260	0	0	0	1690	3	0	0	819	0	0	0	66	0	0	0	750	0	0	0	13636	0	0	0	629	5	0	0	347	0	0	17	259	0	0	0	238	4	2	0	318	0	165	0	125	0	0	0	61	0	0	0	296	0	0	0	0	6	0	0	207	3	0	0	0	0	0	0	30	0	0	0	0	8	0	0	79	5	0	0	7468	0	0	74	0	0	0	0	2	0	0	0	0	0	435	0	242	0	0	0	130	0	589	16	8	0	0	0	51	0	0	0	0	0	126	0	9	0	0	0
genus157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3453	339	0	179	2988	25	290	149	4441	19	1525	448	2377	0	318	370	2842	4023	247	218	3207	495	224	423	4176	1222	7	196	1157	0	0	366	3339	63	258	360	3818	298	381	141	5043	20	467	325	2745	357	3338	376	3919	1014	0	293	3806	1823	356	148	3767	3310	0	1217	2152	451	821	512	4339	189	336	207	3967	470	0	60	3159	35	81	36	4582	1625	1890	74	12	20	325	76	986	36	82	163	0	1360	301	64	410	496	192	370	404	904	292	321	461	563	339	210	347	1132	243	450	1118	368	21	356	489	177	3409	192	241	34	13	249	177	1112	160	358	377	0	599	337	9	1924	0	265	411	1063	2300	305	509	0	264	296	699	1070	1069	659	741	4149	259	167	1044	209	223	133	34	535	0	397	9	735	656	462	603	0	1160	319	856	0	2981	483	618	0	226	288	196	0	11	0	607	0	2347	147	432	6	205	305	223	1221	1213	160	202	0	0	360	120	12	2085	344	676	0	208	64	4683	431	432	506	4669	646	1585	237	4390	1667	335	368	5524	0	7566	221	4792	0	0	453	5661	373	65	1150	5120	219	624	331	2977	0	2206	535	3219	42	947	75	5120	691	489	209	2201	1772	1046	246	395	860	1678	308	17	283	3	306	489	12	8	70	17	837	942	460	332	0	702	366	18	111	379	204	969	58	0	280	10	417	473	22	409	0	0	176
genus158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	7	0	0	320	0	0	0	597	8	0	0	341	8	0	0	163	458	0	0	349	415	0	0	261	0	0	0	187	0	0	0	455	0	0	0	363	0	0	0	743	342	0	0	263	0	0	0	359	80	193	0	477	0	124	0	514	0	0	37	345	461	0	0	355	0	0	0	540	0	0	0	745	4	0	0	419	8	0	0	0	2	0	0	0	12	0	15	134	761	71	0	0	0	118	0	0	7	0	0	0	962	2	0	0	0	0	0	0	0	1000	0	0	64	0	59	0	7	0	0	165	537	105	0	0	0	318	0	0	293	0	0	0	0	0	0	0	0	0	153	0	0	0	0	0	348	0	0	0	0	0	0	0	20	946	0	0	0	178	0	926	0	230	0	235	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	305	0	620	0	0	0	689	0	526	0	465	0	0	0	544	0	0	0	485	0	3	0	1115	177	0	161	584	0	51	0	336	0	2167	0	348	587	120	0	998	0	0	0	898	381	0	0	0	408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	9	0	0	0	0
genus159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	2	0	0	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	0	23	0	0	2	515	0	0	408	216	0	0	0	214	0	0	0	523	0	0	0	244	0	0	3	373	0	0	611	487	0	0	0	289	0	0	1270	0	0	0	0	15	0	0	0	290	0	0	0	95	44	0	0	300	0	0	0	545	0	0	0	73	0	0	0	0	0	0	48	0	0	0	0	77	0	0	0	28	0	0	0	302	0	0	0	106	0	0	0	500	0	0	237	317	0	0	562	288	0	0	0	499	0	0	0	469	0	0	965	136	295	0	0	555	0	0	0	246	0	0	0	379	0	0	2	404	346	0	694	623	0	0	581	16	0	0	595	336	0	0	0	79	0	0	0	154	0	0	0	375	0	0	0	363	0	0	0	353	0	0	0	514	38	0	6	321	0	0	0	269	0	0	0	446	0	0	0	352	0	0	0	80	0	0	0	353	0	0	881	232	0	0	0	6	60	0	159	404	0	0	0	217	0	0	0	229	0	0	0	209	0	0	0	328	0	0	0	15	0	0	285	459	0	0	0	388	0	0	230	491	0	0	85	132	0	0	257	140	0	0	0	171	0	0	0	327	0	0	0	122	0	0	302	491	0	0	2	348	0	288	402	130	0	0	0	442	0	401	8	0	439	0	763	102
genus161	0	0	0	0	0	0	0	0	0	0	90	6	0	0	0	70	0	0	0	0	0	0	0	0	0	0	425	0	0	0	0	0	0	0	103	0	0	0	0	0	52	0	0	0	97	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	108	0	0	0	3	0	43	0	66	0	354	0	11	0	0	0	0	0	0	0	0	0	0	0	58	4	0	0	0	0	0	0	34	0	0	0	104	0	0	0	36	0	0	0	0	0	0	0	56	0	4	0	0	0	15	0	0	0	0	64	0	0	185	11	0	0	128	56	0	0	0	43	109	0	0	0	0	0	0	0	0	0	189	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	95	0	3015	746	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	49	2	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	224	4	0	0	0	209	0	208	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	119	0	0	56	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus162	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	41	1386	0	0	186	0	0	0	0	0	0	0	0	0	0	388	0	0	0	220	13	0	0	0	42	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	475	0	11	77	0	0	18	24	194	0	99	0	0	0	9	155	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	89	0	0	0	80	21	0	144	45	0	0	0	35	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	65	44	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	9	0	0	0	0	0	0	436	0	0	0	93	0	0	0	259	0	0	0	0	0	0	0	0	30	0	0	0	0	0	218	0	222	15	0	0	32	0	0	0	19	0	0	0	0	0	0	152	208	0	0	521	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	420	0	0	0	75	0	0	0	0	29	0	0	0	0	0	0	0	0
genus163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	116	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	8	0	0	0	0	0	0	0	0	0	149	0	41	0	0	0	0	0	0	0	37	370	0	32	0	0	0	0	0	0	0	99	0	0	0	0	71	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	32	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	206	0	72	0	0	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0
genus164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	32	0	0	0	0	0	0	0	38	0	0	0	152	63	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	378	0	0	55	0	0	0	29	0	0	0	0	0	0	0	115	0	0	0	0	115	0	0	0	0	0	0	0	0	0	0	99	0	0	0	42	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	149	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	4	0	0	0	0	0	38	0	48	0	0	0	85	0	0	0	63	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus166	0	732	252	1081	0	0	202	80	14	0	238	0	55	0	14	147	0	9	214	0	77	2011	0	0	0	0	152	423	312	0	0	138	58	2453	264	150	0	0	185	448	7654	5735	925	1760	6851	17404	581	2746	9813	1340	2541	2625	9356	255	1650	1339	8187	11308	2165	1071	8615	2552	812	2500	9583	2679	0	1074	10272	2594	1809	1983	6463	855	2478	2530	10400	718	6459	1304	12160	2078	1294	1137	5913	1595	2388	1698	9050	4286	2302	2634	8001	3047	301	785	8969	7040	422	1966	5840	626	377	2301	13166	451	412	801	7347	482	0	62	7016	90	196	163	9553	4697	864	268	491	928	541	408	2345	2007	554	1532	5024	732	720	451	1354	1376	546	1676	137	4931	3139	1846	1390	2702	1365	861	2241	2774	318	2518	386	3479	1852	2577	669	9722	1824	1726	1324	1537	1479	1884	277	2970	101	1330	7233	626	2286	1402	4554	2806	1447	1476	1387	2367	8303	2180	1917	5944	1841	1611	2724	5698	3418	2675	1569	4069	2313	1210	2842	489	1834	629	833	2529	2544	1972	6122	2646	2977	1891	819	2346	2560	1686	4741	1437	3313	1957	8975	69	465	1277	3215	2715	1541	913	2281	2090	1777	1776	2898	8482	1891	1258	1276	8907	2918	2277	4748	4580	2027	1722	1417	21	5967	1590	5238	1631	558	323	11161	507	3885	2542	11628	3639	872	1396	8788	900	795	1738	11932	11472	6561	537	9866	728	309	606	10500	7593	532	2228	9517	6632	8681	2663	5443	542	2402	2285	7792	255	3526	1447	12581	0	3991	2025	6930	4113	5755	926	2529	3563	6655	1006	4890	286	1394	1718	1545	1285	3306	769	116	3934	4253	2497	1595	7147	1125	1502	21	626	2416	560	2766	5	7305	1747	1596	1535	2732	64	4175	455	1213	711
genus167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus168	0	2	0	0	0	48	0	0	0	5916	0	0	8	0	0	0	1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	226	0	0	57	688	0	108	126	7	0	0	205	6	0	0	122	138	0	0	136	0	0	0	172	0	0	48	1084	4	0	0	58	0	0	0	122	8	142	0	64	383	0	0	227	4	0	55	206	439	0	32	88	0	0	0	189	85	0	166	113	4	0	0	213	6	0	0	121	0	0	0	125	0	0	0	366	218	0	0	0	0	34	0	0	389	154	29	0	642	0	19	0	0	128	0	0	0	0	0	0	0	0	0	0	4	0	0	0	341	0	0	0	406	0	0	0	0	0	0	0	0	0	0	212	3	0	0	722	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	92	0	13	0	5	0	0	58	3	0	68	4	0	0	0	654	0	0	0	659	0	0	0	3	0	0	0	766	0	0	42	0	0	0	15	0	0	0	19	324	0	0	14	100	0	0	0	1572	0	0	0	265	0	140	0	39	0	420	0	97	3	0	0	100	0	0	0	129	0	0	28	271	578	0	90	202	252	319	15	75	0	0	0	179	0	227	0	192	0	0	89	0	0	352	0	650	0	0	0	308	0	0	0	132	0	695	0	0	46	134	7	62	0	0	0	0	19	0	0	0	1622	0	0	0	0	75	0	0	0	0	11
genus169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
genus173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1152	0	0	0	22	0	0	0	0	0	27	4	0	0	0	0	0	0	17	0	0	0	3	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	2	0	0	0	0	0	0	0	10	0	0	0	874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	17	0	0	0	0	0	42	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
