D01E01J D01E02J D01E03J D01E04J D01E05J D01E06J D01E07J D01E08J D01E09J D01E10J D04E01J D04E02J D04E03J D04E04J D04E05J D04E06J D04E07J D04E08J D04E09J D04E10J D07E01J D07E02J D07E03J D07E04J D07E05J D07E06J D07E07J D07E08J D07E09J D07E10J D14E01J D14E02J D14E03J D14E04J D14E05J D14E06J D14E07J D14E08J D14E09J D14E10J D21E01J D21E02J D21E03J D21E04J D21E05J D21E06J D21E07J D21E08J D21E09J D21E10J D28E01J D28E02J D28E03J D28E04J D28E05J D28E06J D28E07J D28E08J D28E09J D28E10J D35E01J D35E02J D35E03J D35E04J D35E05J D35E06J D35E07J D35E08J D35E09J D35E10J D42E01J D42E02J D42E03J D42E04J D42E05J D42E06J D42E07J D42E08J D42E09J D42E10J
D04E01J 0.88 0.69 0.76 0.69 0.98 0.92 0.91 0.95 0.98 0.85 0 -0.37 -1 -0.99 -0.93 -0.92 -1 -0.94 -0.37 -0.95 -0.97 -0.52 -0.87 -1 -0.93 -0.79 -0.74 -0.79 -0.28 -0.7 -1 -0.76 -0.7 -0.76 -0.84 -0.99 -0.92 -0.96 -1 0.81 -1 -1 -1 -0.03 -1 0.21 0.71 1 -0.9 -1 0.3 -0.45 -0.81 -0.59 -0.91 -0.7 0.84 -0.68 -0.91 -0.95 -0.95 -0.77 -1 0.97 -0.98 -0.76 -0.91 -0.43 -0.63 -1 -0.99 0.68 -0.89 -0.99 0.01 -0.45 -0.99 -0.82 -0.92 -0.94
D04E02J 0.94 0.78 0.84 0.78 0.99 0.97 0.96 0.98 0.94 0.91 -0.37 0 -0.84 -0.32 -1 -0.1 -0.8 0.13 -0.98 -0.94 -0.78 0.52 0.66 -0.56 -0.93 0.16 0.94 -0.29 -0.45 -0.63 -0.98 -0.08 0.72 -0.63 -0.45 -0.66 0.15 -0.69 -0.68 1 -0.99 -1 -0.53 0.97 -0.82 0.73 1 0.94 0.31 0.62 0.46 0.32 0.25 0.01 0.21 -0.17 0.96 -0.78 -0.9 -0.26 -1 -0.71 -0.09 0.97 -0.4 -0.4 -0.49 -0.38 -0.59 -0.95 -0.79 0.71 0.28 0.21 0.22 -0.2 -0.85 0.79 -0.97 -0.83
D04E03J 0.94 0.8 0.86 0.8 1 0.82 0.96 0.99 1 0.92 -1 -0.84 0 -1 -0.87 0.49 -0.53 -0.46 -0.94 -0.97 -1 -0.05 -0.27 -0.87 -0.99 -0.74 0.18 0.13 0.17 -0.87 -1 -0.4 0.48 -0.28 -0.71 -0.95 -0.61 0.21 -0.92 0.93 -0.99 -0.92 -0.95 -0.79 -0.99 -0.74 0.9 0.83 0.69 -1 0.45 -0.95 -0.26 -0.51 0.46 0.45 0.91 -0.72 -0.97 -0.18 -1 -0.97 -0.77 0.94 -0.99 -0.53 -0.95 -0.16 -1 -0.99 -0.96 -0.1 -0.57 -0.97 0.46 -0.53 -0.94 -0.58 -0.98 -0.77
D04E04J 0.83 0.63 0.7 0.63 0.97 0.89 0.86 0.92 0.95 0.79 -0.99 -0.32 -1 0 -1 -0.88 -0.94 -1 -1 -0.97 -0.97 -0.89 -1 -1 -0.99 -1 -0.9 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.97 -1 -1 -0.99 0.24 -1 -1 -1 -0.72 -1 -0.28 0.2 0.65 -0.63 -1 -0.99 -0.98 -0.97 -0.99 -0.94 -1 0.37 -0.99 -1 -0.94 -1 -0.98 -0.99 0.96 -1 -1 -0.96 -0.99 -0.79 -1 -1 -0.37 -0.98 -0.99 -0.99 -1 -1 -0.8 -0.99 -0.98
D04E05J 0.82 0.61 0.67 0.61 0.96 0.87 0.84 0.91 0.95 0.78 -0.93 -1 -0.87 -1 0 -1 -1 -0.99 -1 -0.96 -1 -0.98 -1 -1 -0.99 -0.97 -0.89 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 0.07 -1 -1 -1 -0.98 -1 -0.29 0.7 0.61 -0.79 -1 -1 -0.99 -1 -1 -1 -1 0.09 -0.99 -1 -0.94 -1 -1 -1 0.66 -1 -1 -0.98 -1 -1 -1 -1 -0.87 -1 -0.93 -1 -0.99 -1 -0.84 -1 -1
D04E06J 0.76 0.55 0.61 0.55 0.93 0.82 0.79 0.45 0.92 0.71 -0.92 -0.1 0.49 -0.88 -1 0 -1 -1 -0.78 -0.96 -0.35 -0.89 -0.86 -1 -0.89 -0.31 -0.67 -0.91 -0.79 -0.87 -0.57 -1 -0.49 -0.85 -0.85 -0.9 -0.84 -0.99 -0.93 -0.77 -0.97 -0.99 -0.98 0.9 -0.99 0.31 0.68 -0.17 -0.94 -0.27 -0.96 0.04 -1 -1 -0.81 -0.76 0.4 -0.79 -0.98 -0.35 -0.99 -1 -0.98 0.26 -0.98 -0.81 -0.39 -1 -0.99 -1 -0.82 -0.5 -1 -0.97 -0.47 -0.9 -0.6 -0.1 -0.55 -0.91
D04E07J 0.79 0.58 0.64 0.58 0.94 0.85 0.83 0.89 0.94 0.74 -1 -0.8 -0.53 -0.94 -1 -1 0 -0.99 -0.75 -0.89 -0.53 -0.57 -0.96 -1 0.47 -0.99 -0.99 -0.98 -0.79 -0.94 -0.93 -0.98 -0.62 -0.93 -0.99 -0.52 -1 -1 -0.59 0.87 -1 -1 -0.75 0.85 -1 0.8 0.69 -0.31 -0.11 -0.83 -0.76 -0.95 -1 -0.19 -0.99 -0.83 0.87 -0.41 -0.98 -0.48 -0.99 -0.98 -0.99 0.97 -0.97 -0.89 -0.64 -1 -0.21 -1 -0.83 0.61 -1 -0.83 -0.71 -0.27 -0.98 -0.26 -0.86 -0.98
D04E08J 0.84 0.63 0.7 0.63 0.96 0.89 0.86 0.92 0.96 0.8 -0.94 0.13 -0.46 -1 -0.99 -1 -0.99 0 -0.79 -0.9 -0.96 -0.92 -0.83 -1 -0.73 -0.96 -0.63 -1 -0.97 -0.95 -1 -1 -0.93 -0.88 -1 -1 -0.68 -0.99 -0.98 0.94 -1 -0.98 -1 0.1 -0.97 -0.03 0.44 0.8 -0.79 -0.77 -0.96 -0.67 -0.96 -0.7 -0.8 -0.53 0.24 -0.73 -0.71 0.25 -1 -0.48 -0.97 0.94 -0.98 -0.93 -0.72 -1 -0.83 -1 -0.98 -0.86 -0.91 -0.55 -0.02 -0.93 -0.95 -0.66 -0.99 -0.76
D04E09J 0.77 0.56 0.63 0.56 0.94 0.83 0.81 0.5 0.93 0.74 -0.37 -0.98 -0.94 -1 -1 -0.78 -0.75 -0.79 0 -1 -1 -0.96 -1 -1 -0.98 -0.97 -0.66 -1 -0.98 -0.99 -1 -0.87 -0.39 -0.98 -0.97 -0.92 -0.77 -0.69 -0.98 0.85 -0.84 -0.96 -1 -0.39 -0.98 -0.34 0.87 0.81 0.59 -0.83 -0.95 -0.53 -0.9 -0.9 -0.62 -0.28 -0.36 -0.93 -1 -0.21 -1 -0.43 -0.7 0.49 -0.99 -0.92 -0.76 -0.54 -0.8 -0.6 -0.88 -0.6 -0.39 0.12 -0.52 -0.98 -0.98 -0.59 -0.99 -0.95
D04E10J 0.89 0.7 0.77 0.7 0.98 0.93 0.91 0.95 0.98 0.85 -0.95 -0.94 -0.97 -0.97 -0.96 -0.96 -0.89 -0.9 -1 0 -1 -0.97 -0.81 -1 -0.93 -0.96 -0.92 -1 -0.15 -0.97 -1 -1 -0.63 -1 -0.98 -0.99 0.04 -0.89 -1 0.46 -1 -0.98 -0.95 -0.12 -1 -0.44 0.2 0.59 -0.82 -0.99 -0.66 -0.93 -0.9 -0.76 -0.79 -0.94 -0.49 -0.78 -0.99 -0.06 -0.99 -0.41 -0.72 0.7 -0.93 -0.98 -1 -0.95 -0.92 -0.88 -0.9 -0.45 -0.92 -0.99 -0.02 -0.53 -0.95 -0.86 -0.96 -0.97
D07E01J 0.91 0.75 0.81 0.75 0.99 0.95 0.93 0.97 0.99 0.89 -0.97 -0.78 -1 -0.97 -1 -0.35 -0.53 -0.96 -1 -1 0 -1 -0.99 -1 -1 -0.98 -0.6 -0.91 -0.95 -0.98 -1 -1 -0.87 -0.91 -1 -0.98 -0.63 -0.92 -0.98 -0.32 -1 -0.96 -1 -0.89 -0.96 -0.98 0.73 0.71 -0.9 -0.98 -0.68 -0.58 -0.69 -0.72 -0.46 -0.56 0.15 -0.91 -0.99 -0.95 -1 -1 -0.67 -0.09 -0.89 -0.89 -0.82 -0.6 -0.96 -0.98 -0.96 -0.89 -0.52 -0.53 0.59 -0.96 -0.88 -0.99 -0.91 -0.85
D07E02J 0.91 0.74 0.8 0.74 0.99 0.95 0.93 0.97 0.99 0.89 -0.52 0.52 -0.05 -0.89 -0.98 -0.89 -0.57 -0.92 -0.96 -0.97 -1 0 -0.97 -0.84 0.43 -0.78 -0.83 -0.99 -0.98 -0.98 -0.96 -0.99 -0.45 -0.63 -0.54 0 -0.24 -0.75 -0.49 -0.05 -0.87 -0.82 -0.95 -0.82 -0.91 -0.18 0.9 0.09 -0.56 -0.99 -0.99 -0.39 -0.93 -0.9 -0.9 0.51 -0.98 0.04 -0.68 0.51 -0.77 -0.92 -0.88 0.28 -0.9 -0.4 -0.19 -0.9 -0.98 -0.37 -0.27 -0.75 -0.71 -0.31 0.56 -0.57 -0.45 -1 -0.87 -0.98
D07E03J 0.81 0.61 0.68 0.61 0.96 0.87 0.39 0.91 0.95 0.77 -0.87 0.66 -0.27 -1 -1 -0.86 -0.96 -0.83 -1 -0.81 -0.99 -0.97 0 -1 -0.87 -1 -0.92 -1 -1 -1 -1 -0.99 -0.99 -0.99 -1 -0.94 -1 -0.93 -0.95 0.68 -0.99 -1 -1 -0.99 -0.97 0.77 0.88 0.83 -0.41 -0.93 -1 -1 -1 -1 -0.99 -1 0.48 -0.84 -0.94 -0.39 -0.99 -1 -0.93 0.85 -1 -1 -0.99 -1 -0.87 -0.67 -0.99 -0.3 -1 -0.6 -0.97 -0.99 -0.97 -0.74 -0.99 -1
D07E04J 0.7 0.48 0.56 0.48 0.9 0.76 0.74 0.83 0.89 0.66 -1 -0.56 -0.87 -1 -1 -1 -1 -1 -1 -1 -1 -0.84 -1 0 -1 -1 -0.97 -1 -1 -1 -1 -1 -0.99 -1 -1 -0.99 -1 -1 -1 0.81 -1 -1 -1 -0.8 -1 0.06 0.08 1 -0.96 -1 -1 -0.97 -1 -1 -0.98 -1 0.86 -1 -1 -0.95 -1 -1 -1 0.87 -1 -1 -0.98 -1 -0.98 -1 -1 -0.13 -1 -0.94 -0.99 -1 -1 -0.7 -1 -1
D07E05J 0.91 0.74 0.8 0.74 0.99 0.95 0.93 0.81 0.99 0.88 -0.93 -0.93 -0.99 -0.99 -0.99 -0.89 0.47 -0.73 -0.98 -0.93 -1 0.43 -0.87 -1 0 -0.87 0.91 -0.96 -0.93 -1 -1 -0.96 -0.74 -1 -0.98 -1 -0.95 -0.68 -1 0.76 -0.99 -0.99 -1 0.12 -1 -0.63 0.4 0.7 -0.93 -0.97 -0.61 -0.93 -0.83 -0.86 -0.4 -0.32 0.15 -0.84 -1 -0.82 -0.99 -0.85 -0.93 0.99 -0.84 -0.95 -0.97 -0.66 -1 -1 -1 0.26 -0.84 -0.51 -0.78 -0.74 -0.8 -0.89 -0.96 -1
D07E06J -0.42 -0.23 -0.11 -0.23 0.29 -0.22 0.31 0.54 0.69 0.12 -0.79 0.16 -0.74 -1 -0.97 -0.31 -0.99 -0.96 -0.97 -0.96 -0.98 -0.78 -1 -1 -0.87 0 -0.61 -1 -1 -1 -1 -1 -1 -1 -1 -0.95 -0.97 -0.92 -0.99 0.47 -0.99 -0.99 -1 -0.49 -0.89 0.6 0.47 -0.07 -0.98 -0.87 -0.99 -0.32 -0.98 -1 -0.98 -0.54 -0.95 0.04 -0.98 -0.03 -0.94 -0.91 -0.9 0.67 -1 -0.99 -0.88 -0.83 -0.99 -0.82 -0.99 -0.66 -1 -0.25 -0.99 -0.97 -1 -0.03 -0.96 -1
D07E07J 0.93 0.76 0.82 0.76 0.99 0.96 0.94 0.98 0.99 0.9 -0.74 0.94 0.18 -0.9 -0.89 -0.67 -0.99 -0.63 -0.66 -0.92 -0.6 -0.83 -0.92 -0.97 0.91 -0.61 0 -0.67 -0.26 -0.75 -0.76 -0.32 0.7 -0.76 -0.48 -0.87 -0.98 -0.96 -0.89 1 -0.76 -0.96 -0.28 0.88 -0.87 0.86 0.99 1 0.39 -0.45 -0.89 -0.6 -0.67 -0.42 -0.25 -0.69 0.93 -0.38 -0.91 0.71 -0.28 -0.36 0.23 1 -0.4 -0.81 -0.66 -0.42 -0.6 -0.45 -0.66 0.74 0.07 -0.69 0.97 -0.7 -0.95 0.9 -0.33 -0.01
D07E08J 0.76 0.55 0.61 0.55 0.93 0.82 0.79 0.87 0.92 0.71 -0.79 -0.29 0.13 -1 -1 -0.91 -0.98 -1 -1 -1 -0.91 -0.99 -1 -1 -0.96 -1 -0.67 0 -1 -1 -1 -1 -1 -1 -1 -0.98 -1 -0.95 -0.93 0.61 -0.97 -0.99 -1 -0.95 -0.86 0.13 0.68 0.4 -0.84 -1 -1 -0.16 -1 -1 -0.81 -0.2 -0.99 -0.96 -0.9 0.12 -0.99 -0.96 -0.99 0.93 -1 -0.98 -0.39 -0.99 -0.88 -0.56 -0.98 -0.64 -1 -0.97 -0.96 -1 -0.95 -0.46 -0.94 -0.99
D07E09J 0.66 0.46 0.51 0.46 0.45 0.73 0.7 0.78 0.85 0.61 -0.28 -0.45 0.17 -1 -1 -0.79 -0.79 -0.97 -0.98 -0.15 -0.95 -0.98 -1 -1 -0.93 -1 -0.26 -1 0 -1 -1 -1 -1 -1 -1 -0.92 -1 -0.95 -0.99 0.9 -0.99 -1 -1 -0.66 -0.79 0.59 0.84 0.87 -0.92 -0.86 -1 -0.91 -0.99 -1 -0.82 -0.9 0.03 -0.71 -0.99 0.56 -0.88 -0.59 -0.92 0.78 -1 -1 -0.52 -0.91 -0.7 -0.83 -0.99 -0.25 -1 0.44 -0.96 -0.96 -1 0.57 -0.65 -0.9
D07E10J 0.6 0.39 0.46 0.39 0.82 0.68 0.64 0.72 0.81 0.55 -0.7 -0.63 -0.87 -1 -1 -0.87 -0.94 -0.95 -0.99 -0.97 -0.98 -0.98 -1 -1 -1 -1 -0.75 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -0.97 -1 -0.47 -1 -1 -1 -0.97 -1 -0.09 0.44 0.83 -0.79 -1 -1 -0.98 -1 -1 -1 -1 -0.58 -0.99 -1 -0.16 -1 -0.99 -1 0.94 -1 -1 -0.98 -1 -0.88 -1 -1 -0.66 -1 -0.83 -1 -1 -1 -0.96 -1 -1
D14E01J 0.64 0.44 0.5 0.44 0.85 0.72 0.68 0.77 0.84 0.6 -1 -0.98 -1 -1 -1 -0.57 -0.93 -1 -1 -1 -1 -0.96 -1 -1 -1 -1 -0.76 -1 -1 -1 0 -1 -1 -1 -1 -1 -1 -1 -1 -0.19 -1 -1 -1 -1 -1 -0.99 -0.03 0.88 -1 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -1 -1 -1 -1 -1 0.65 -1 -1 -1 -1 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -0.96 -1 -1
D14E02J 0.77 0.54 0.61 0.54 0.93 0.83 0.8 0.88 0.93 0.72 -0.76 -0.08 -0.4 -0.99 -1 -1 -0.98 -1 -0.87 -1 -1 -0.99 -0.99 -1 -0.96 -1 -0.32 -1 -1 -1 -1 0 -0.99 -1 -1 -0.97 -1 -1 -1 0.76 -1 -0.99 -1 -0.21 -0.96 0.33 0.97 0.73 -0.74 -0.81 -0.97 -0.85 -0.98 -0.99 -0.96 -0.42 0.05 -0.92 -0.89 -0.33 -0.99 -0.99 -0.97 0.63 -1 -0.95 -0.63 -0.98 -0.95 -1 -1 -0.29 -1 -0.88 -0.91 -0.95 -0.98 -0.72 -0.88 -1
D14E03J 0.77 0.56 0.63 0.56 0.69 0.84 0.8 0.88 0.93 0.73 -0.7 0.72 0.48 -1 -1 -0.49 -0.62 -0.93 -0.39 -0.63 -0.87 -0.45 -0.99 -0.99 -0.74 -1 0.7 -1 -1 -1 -1 -0.99 0 -1 -1 -0.97 -1 -0.88 -0.99 0.81 -1 -0.99 -1 -0.97 -0.89 0.14 0.35 0.53 -0.84 -0.75 -1 -0.87 -0.98 -1 -0.85 -0.97 -0.01 -0.4 -0.99 0.24 -1 -0.6 -1 1 -1 -1 -0.86 -1 -0.61 -0.99 -1 0.8 -1 -0.9 -0.7 -0.98 -1 -0.33 -0.76 -0.96
D14E04J 0.64 0.44 0.5 0.44 0.85 0.72 0.68 0.77 0.84 0.6 -0.76 -0.63 -0.28 -1 -1 -0.85 -0.93 -0.88 -0.98 -1 -0.91 -0.63 -0.99 -1 -1 -1 -0.76 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -1 0.72 -1 -1 -1 -0.99 -1 0.22 -0.45 0.67 -0.49 -0.98 -0.99 -0.74 -1 -1 -0.99 -0.97 0.28 -0.99 -1 0.15 -0.99 -0.9 -1 0.87 -1 -1 -0.97 -1 -0.94 -1 -1 0.83 -1 -0.99 -1 -1 -1 -0.76 -1 -0.98
D14E05J 0.73 0.52 0.59 0.52 0.61 0.8 0.77 0.38 0.9 0.69 -0.84 -0.45 -0.71 -1 -1 -0.85 -0.99 -1 -0.97 -0.98 -1 -0.54 -1 -1 -0.98 -1 -0.48 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -1 -1 -0.82 -1 -1 -1 -0.73 -1 -0.6 0.56 -0.33 -0.91 -0.99 -0.99 -1 -1 -1 -1 -1 -0.35 -0.83 -1 -0.94 -1 -0.91 -1 0.9 -1 -1 -0.97 -1 -0.91 -1 -1 -0.34 -1 -0.79 -1 -1 -1 -0.73 -0.99 -1
D14E06J 0.81 0.59 0.66 0.59 0.95 0.86 0.83 0.91 0.95 0.76 -0.99 -0.66 -0.95 -0.97 -1 -0.9 -0.52 -1 -0.92 -0.99 -0.98 0 -0.94 -0.99 -1 -0.95 -0.87 -0.98 -0.92 -1 -1 -0.97 -0.97 -1 -1 0 -1 -1 -1 0.54 -1 -1 -1 -0.59 -1 -0.94 0.61 0.93 -0.94 -1 -0.99 -0.98 -1 -0.99 -0.98 -0.98 -0.07 -0.96 -1 -0.98 -1 -0.91 -1 1 -1 -1 -1 -1 -0.99 -1 -1 -0.74 -1 -1 -0.81 -1 -1 -0.98 -0.99 -0.97
D14E07J -0.29 -0.59 -0.51 -0.59 0.77 -0.17 -0.23 -0.64 0.13 -0.38 -0.92 0.15 -0.61 -1 -1 -0.84 -1 -0.68 -0.77 0.04 -0.63 -0.24 -1 -1 -0.95 -0.97 -0.98 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -0.09 -1 -1 -0.99 -0.89 -1 0.12 -0.59 0.49 -0.85 -1 -1 -0.93 -0.95 -1 -1 -1 0.21 -0.96 -1 -0.74 -0.97 -1 -1 0.99 -1 -1 -0.96 -0.99 -0.97 -1 -1 0.02 -1 -0.96 -1 -0.99 -1 -0.96 -1 -1
D14E08J 0.4 0.66 0.72 0.66 0.83 0.56 0.88 0.67 0.97 0.81 -0.96 -0.69 0.21 -1 -1 -0.99 -1 -0.99 -0.69 -0.89 -0.92 -0.75 -0.93 -1 -0.68 -0.92 -0.96 -0.95 -0.95 -0.97 -1 -1 -0.88 -1 -1 -1 -1 0 -1 1 -1 -1 -0.97 -0.11 -0.99 -0.46 0.24 1 -0.87 -1 -0.03 -0.73 -0.7 -0.7 -0.35 -0.8 0.85 -0.88 -0.99 -0.88 -0.43 -0.85 -0.54 1 -0.7 -0.95 -0.83 -0.81 -0.87 -0.99 -0.94 0.72 -0.21 -0.46 0.56 -0.82 -0.99 -0.28 -0.96 -0.82
D14E09J 0.84 0.64 0.69 0.64 0.96 0.89 0.42 0.64 0.78 0.24 -1 -0.68 -0.92 -0.99 -1 -0.93 -0.59 -0.98 -0.98 -1 -0.98 -0.49 -0.95 -1 -1 -0.99 -0.89 -0.93 -0.99 -1 -1 -1 -0.99 -1 -1 -1 -1 -1 0 0.28 -0.99 -1 -1 -0.9 -1 -0.38 0.95 0.95 -0.95 -1 -0.47 -0.91 -0.99 -1 -1 -1 0.04 -0.73 -1 -0.96 -0.97 -0.94 -0.93 0.96 -0.94 -1 -1 -0.94 -1 -1 -1 -0.5 -0.74 -1 -0.83 -0.97 -0.98 -0.9 -1 -1
