D01E01D D01E02D D01E03D D01E04D D01E05D D01E06D D01E07D D01E08D D01E09D D01E10D D04E01D D04E02D D04E03D D04E04D D04E05D D04E06D D04E07D D04E08D D04E09D D04E10D D07E01D D07E02D D07E03D D07E04D D07E05D D07E06D D07E07D D07E08D D07E09D D07E10D D14E01D D14E02D D14E03D D14E04D D14E05D D14E06D D14E07D D14E08D D14E09D D14E10D D21E01D D21E02D D21E03D D21E04D D21E05D D21E06D D21E07D D21E08D D21E09D D21E10D D28E01D D28E02D D28E03D D28E04D D28E05D D28E06D D28E07D D28E08D D28E09D D28E10D D35E01D D35E02D D35E03D D35E04D D35E05D D35E06D D35E07D D35E08D D35E09D D35E10D D42E01D D42E02D D42E03D D42E04D D42E05D D42E06D D42E07D D42E08D D42E09D D42E10D
D04E01D 0.7 0.89 0.93 0.96 0.94 1 0.91 0.85 1 0.84 0 -0.99 -0.99 -0.99 -0.77 -0.59 -1 -0.84 -0.99 -0.88 -0.28 -0.93 -0.85 -0.17 -0.8 -0.88 0.17 -0.95 -0.92 -0.66 -0.7 -0.87 -0.45 -0.9 -0.58 -0.74 -0.92 -0.47 -0.15 -0.76 -0.74 -0.95 -0.78 -0.86 -0.4 -0.86 -0.78 -0.99 -0.39 -0.35 -0.84 -0.77 -1 -0.03 0.19 -0.99 -0.86 -0.88 -0.78 -0.26 -0.97 -0.99 -0.82 -0.98 0.07 -0.79 -0.83 0.36 -0.52 -0.97 -0.98 -0.98 -0.78 -0.99 -0.88 -0.23 -0.37 0.22 -0.99 -0.66
D04E02D 0.98 0.72 0.92 0.99 1 1 0.77 0.92 0.99 0.94 -0.99 0 -0.48 -0.89 -0.88 -0.89 -0.8 -0.97 -1 -0.97 -0.32 -0.07 -0.48 -0.64 0.05 -0.92 -0.03 -0.93 -0.5 -0.69 -0.11 -0.98 -0.05 -0.12 -0.25 -0.55 0.12 -0.72 0.13 -0.95 -0.94 -0.98 -0.96 -0.79 -0.72 -0.48 -0.96 -0.91 0.06 0.58 -0.65 -0.84 -0.92 -0.83 -0.32 -1 -0.87 0.5 -0.95 -0.58 -0.88 -0.96 -0.07 -0.96 -0.63 -0.3 -0.86 0.44 -0.89 -1 -0.96 -0.98 -0.12 -0.95 -0.91 0.61 0.47 0.76 -0.36 -0.86
D04E03D 0.84 0.94 1 0.98 1 1 0.96 0.91 0.96 0.76 -0.99 -0.48 0 -0.97 -0.29 -0.92 -0.92 -0.77 -0.99 -0.9 -0.7 -0.83 -1 -0.89 -0.58 -0.73 -0.73 -0.63 -0.09 -0.86 -0.85 0.25 0.28 -0.69 0.69 -0.09 -0.69 0.87 -0.4 0.1 0.2 -0.42 -0.64 0.08 0.61 -0.87 0.24 0.52 0.58 0.29 -0.94 -0.76 -0.95 -0.05 0.89 -0.61 -0.37 0.48 -0.02 0.63 -0.61 -0.96 -0.54 -0.44 0.64 -0.46 -0.86 0.93 -0.98 -0.8 0.47 -0.86 0.7 0.87 -0.75 -0.66 0.92 0.97 -0.64 -0.21
D04E04D 0.98 0.95 0.98 0.91 1 1 0.96 0.93 0.99 0.95 -0.99 -0.89 -0.97 0 -0.81 -0.99 -0.99 -0.99 -1 -1 -0.94 -0.85 -1 -0.85 -0.93 -0.92 -0.86 -0.98 -0.97 -0.96 -0.27 -0.98 -1 -0.83 -0.77 -1 -0.8 -0.69 -0.8 -0.77 -0.47 -0.98 -1 -1 -0.77 -0.9 -0.72 -0.98 -0.58 0.1 -0.92 -0.75 -1 -0.5 -0.96 -0.91 -0.86 0.23 -1 -0.88 0.55 -1 -0.56 -0.58 -0.6 -0.88 -1 0.94 -1 -0.96 -0.85 -0.78 -0.12 -0.88 -0.86 -0.46 0.14 0.83 -0.7 -0.94
D04E05D 0.77 0.91 0.99 0.83 0.99 0.95 0.64 0.47 0.99 0.63 -0.77 -0.88 -0.29 -0.81 0 -0.73 -0.15 -0.64 -0.99 -0.99 -0.81 -0.87 -1 -0.97 -0.45 -0.93 -0.77 -0.97 -0.96 -0.98 -0.87 -0.41 -0.42 -0.65 -0.04 -0.61 -0.61 -0.43 -0.31 -0.51 -0.11 0.46 -0.65 -0.95 0.49 -0.05 -0.51 -0.16 0.31 -0.78 -0.94 -0.99 -0.99 -0.69 0.85 -0.98 -0.08 -0.28 -0.89 0.46 0.45 -0.96 0.07 -0.43 0.79 -0.66 -0.32 -0.38 -0.99 -1 -0.98 -0.45 0.51 0.47 -0.9 0.66 0.35 0.94 -0.6 -0.96
D04E06D 0.61 0.86 0.88 0.68 0.88 0.95 0.88 0.81 0.99 0.78 -0.59 -0.89 -0.92 -0.99 -0.73 0 -0.44 -0.97 -1 -0.93 -0.99 -0.95 -1 -1 -0.98 -1 -0.96 -1 -0.98 -0.99 -0.81 -0.98 -0.33 -0.74 -0.45 -0.97 -0.86 -0.53 -0.78 -0.14 -0.28 -0.99 -0.54 -0.42 -0.68 -0.71 -1 -0.91 -0.18 -0.48 -1 -0.95 -0.89 -0.08 -0.01 -0.99 -0.98 -0.07 -1 -0.74 -0.13 -1 -0.88 -0.54 -0.54 -0.83 -1 0.8 -0.98 -0.95 -0.92 -0.4 0.08 -0.47 -0.76 -0.75 0.48 0.26 -0.93 -0.92
D04E07D 0.96 0.92 0.95 0.83 1 0.99 0.93 0.88 1 0.98 -1 -0.8 -0.92 -0.99 -0.15 -0.44 0 -0.98 -0.99 -1 -0.3 -0.91 -0.99 -0.73 -0.97 -0.6 -0.75 -0.99 -0.81 -1 -0.05 -0.68 0.08 -0.87 -0.84 -0.28 -0.27 -0.06 -0.26 -0.15 0.8 -0.97 -0.86 0.15 0.22 -0.75 -0.8 -0.97 -0.53 -0.75 -0.99 -0.84 -0.49 -0.04 0.56 -0.59 -0.04 0.87 -1 0.49 -0.48 -1 0.48 -0.21 -0.19 -0.51 -0.62 0.47 -0.91 -0.98 0.35 -0.95 0.55 -0.55 -0.74 -0.89 -0.09 0.88 -0.58 -0.99
D04E08D 0.96 0.91 0.99 0.49 1 1 0.64 0.47 0.99 0.98 -0.84 -0.97 -0.77 -0.99 -0.64 -0.97 -0.98 0 -0.93 -0.46 -0.36 -0.62 -0.98 -0.94 -0.45 -0.96 -0.97 -0.7 -0.94 -0.67 -0.58 -0.41 0.85 0.32 0.13 -0.15 -0.89 -0.85 0.05 -0.36 -0.84 -0.43 -0.82 -0.54 -0.01 0.63 -0.88 -0.82 -0.58 -0.38 -0.89 -0.9 -0.68 -0.43 0.85 -0.89 -0.26 0.78 -0.82 0.6 -0.15 -0.71 -0.31 0.13 -0.23 -0.66 -0.13 0.28 -0.87 -0.92 0.14 -0.71 -0.04 -0.43 -0.3 -0.72 -0.13 0.78 -0.23 -0.96
D04E09D 0.89 0.82 0.97 0.91 0.79 0.91 0.84 0.78 0.94 0.7 -0.99 -1 -0.99 -1 -0.99 -1 -0.99 -0.93 0 -0.99 -0.99 -1 -1 -1 -0.99 -1 -0.99 -1 -1 -1 -0.95 -1 -0.79 -0.71 -1 -1 -0.99 -1 -1 -0.98 -1 -1 -0.99 -1 -1 -1 -1 -1 -0.99 -0.96 -1 -1 -1 -0.97 -0.84 -1 -1 -0.98 -1 -1 -0.96 -1 -0.99 -1 -1 -1 -1 -0.73 -1 -1 -1 -1 -0.98 -0.95 -1 -0.99 -0.74 0.4 -0.96 -1
D04E10D 0.97 0.93 1 0.98 1 0.99 0.94 0.9 1 0.7 -0.88 -0.97 -0.9 -1 -0.99 -0.93 -1 -0.46 -0.99 0 -0.13 -0.78 -1 -0.95 -0.97 -0.93 -0.64 -0.78 -1 -1 -0.58 -0.92 -0.06 -0.01 -0.24 -0.99 -0.76 0.09 -0.69 -0.29 -0.37 -0.78 -0.85 -1 -0.63 -0.75 -0.7 -0.92 -0.26 0.12 -0.52 -0.05 -0.97 0.3 0.74 -0.95 -0.39 0.71 -0.97 0.31 -0.02 -0.95 -0.18 -0.7 -0.02 -0.81 -0.38 0.6 -0.95 -0.75 -0.64 -0.91 0.73 -0.57 -0.8 0.3 0.73 0.3 -0.8 -0.85
D07E01D 0.48 0.66 0.97 0.86 1 0.98 0.72 0.55 0.95 0.72 -0.28 -0.32 -0.7 -0.94 -0.81 -0.99 -0.3 -0.36 -0.99 -0.13 0 -0.6 -0.99 -0.93 -0.95 -0.55 -0.78 -1 -1 -0.95 -0.15 -0.93 -0.98 0.46 -0.54 -0.88 -0.44 -0.68 -0.78 -0.16 -0.23 -0.81 -0.61 -0.6 -0.09 -0.4 -0.49 0.31 -0.33 0.08 -0.88 -0.59 -0.89 -0.79 -0.03 -0.59 -0.57 0.68 -0.92 -0.07 0.06 -0.82 0.15 -0.33 0.91 -0.64 -0.71 0.79 -0.63 -0.98 -0.25 -0.82 -0.81 0.04 -0.11 0.74 0.44 0.21 -0.74 -0.54
D07E02D 0.96 0.91 0.99 0.97 1 0.95 0.93 0.88 0.99 0.89 -0.93 -0.07 -0.83 -0.85 -0.87 -0.95 -0.91 -0.62 -1 -0.78 -0.6 0 -1 -0.97 -0.8 -0.99 -0.75 -1 -0.93 -0.66 -0.57 -0.99 -0.61 -0.2 0.15 -0.94 -0.82 -0.91 -0.29 -0.97 -0.99 -0.69 -0.99 -0.37 -0.84 -0.98 -0.82 -0.81 0.51 -0.37 -0.99 -0.99 -0.96 -0.9 -0.17 -0.99 -0.83 -0.08 -1 -0.64 -0.33 -1 -0.88 -0.91 -0.23 -0.95 -0.9 -0.23 -0.99 -0.98 -0.9 -0.98 -0.56 -0.57 -0.76 -0.81 0.38 0.88 -0.73 -0.64
D07E03D 0.85 0.77 0.75 0.88 1 0.99 0.22 0.72 0.36 0.59 -0.85 -0.48 -1 -1 -1 -1 -0.99 -0.98 -1 -1 -0.99 -1 0 -1 -1 -0.99 -1 -1 -1 -1 -0.99 -0.99 -0.19 -0.83 -0.98 -0.99 -0.99 -0.99 -1 -1 -1 -0.97 -0.99 -1 -0.9 -1 -0.85 -0.93 -0.94 -0.98 -1 -1 -1 -0.99 -0.44 -1 -1 -0.82 -1 -0.99 -0.9 -1 -1 -0.97 0 -0.99 -0.95 -0.36 -1 -1 -0.98 -0.97 -0.86 -0.96 -1 -0.65 -0.48 -0.3 -1 -0.99
D07E04D 0.46 0.26 0.44 0.54 0.97 0.88 0.33 0.12 0.9 0.65 -0.17 -0.64 -0.89 -0.85 -0.97 -1 -0.73 -0.94 -1 -0.95 -0.93 -0.97 -1 0 -1 -1 -1 -1 -1 -1 -0.93 -1 -0.6 -0.76 -0.7 -0.97 -0.98 -1 -0.54 -0.97 -0.95 -0.99 -0.92 -0.97 -0.84 -1 -0.92 -0.94 -0.84 -0.98 -1 -1 -1 -0.99 -0.87 -1 -0.97 -0.08 -1 -0.49 -0.98 -1 -0.99 -0.84 -0.59 -0.97 -1 -0.19 -1 -1 -0.96 -0.95 -0.89 -0.97 -0.98 -0.89 -0.96 0.23 -1 -1
D07E05D 0.93 0.88 0.72 0.95 1 0.99 0.89 0.84 0.98 0.97 -0.8 0.05 -0.58 -0.93 -0.45 -0.98 -0.97 -0.45 -0.99 -0.97 -0.95 -0.8 -1 -1 0 -0.97 -0.92 -1 -1 -1 -0.61 -0.97 -0.47 -0.92 -0.39 -0.9 -0.89 -0.93 -0.78 -0.81 0.29 -0.61 -0.89 -0.39 -0.34 -0.81 0.06 -0.77 -0.41 -0.86 -0.95 -0.97 -1 -0.95 -0.43 -0.98 -0.99 0.15 -1 -0.31 -0.83 -1 -0.89 -0.23 -0.38 -0.48 -0.98 0.45 -0.95 -1 -0.96 -0.89 -0.23 -0.99 -0.88 -0.39 -0.95 0.28 -0.98 -0.92
D07E06D 0.93 0.87 0.99 0.95 1 0.99 0.89 0.84 0.98 0.97 -0.88 -0.92 -0.73 -0.92 -0.93 -1 -0.6 -0.96 -1 -0.93 -0.55 -0.99 -0.99 -1 -0.97 0 -1 -1 -1 -1 -0.97 -0.98 0.1 -0.94 -0.98 -0.87 -0.89 -1 -0.91 -0.99 -0.92 -1 -0.9 -0.98 -0.93 -1 -0.96 -0.99 -0.82 -0.87 -1 -0.99 -0.99 -0.98 -0.97 -1 -1 -0.95 -1 -0.76 -0.77 -1 -0.98 -0.88 -0.91 -0.98 -0.99 -0.71 -1 -1 -0.99 -0.98 -0.43 -0.35 -0.83 -0.76 -0.52 -0.22 -0.98 -0.99
D07E07D 0.94 0.89 0.99 0.96 1 1 0.91 0.85 0.95 0.84 0.17 -0.03 -0.73 -0.86 -0.77 -0.96 -0.75 -0.97 -0.99 -0.64 -0.78 -0.75 -1 -1 -0.92 -1 0 -1 -1 -1 -0.87 -0.87 -0.89 0.12 -0.94 -0.88 -1 -1 -0.82 -0.97 -0.88 -0.99 -0.78 -0.79 -0.84 -1 -0.85 -0.49 -0.56 -0.98 -0.99 -1 -1 -0.97 -0.36 -1 -0.91 0.67 -1 -0.07 -0.94 -0.98 -0.96 -0.86 -0.29 -0.98 -1 -0.33 -0.99 -1 -0.7 -0.98 -0.67 -0.44 -0.99 -0.96 0.12 -0.44 -0.98 -1
D07E08D 0.31 0.07 0.66 -0.19 0.94 0.93 0.12 -0.62 0.18 0.5 -0.95 -0.93 -0.63 -0.98 -0.97 -1 -0.99 -0.7 -1 -0.78 -1 -1 -1 -1 -1 -1 -1 0 -1 -1 -0.71 -0.99 -0.62 -0.94 -1 -0.97 -1 -0.99 -1 -1 -0.85 -1 -0.94 -0.99 -0.99 -1 -0.91 -0.96 -0.98 -1 -1 -0.98 -1 -1 -0.73 -1 -0.99 -0.89 -1 -0.9 -0.93 -1 -0.86 -0.46 -0.57 -0.97 -1 -0.54 -1 -1 -1 -1 -0.91 -1 -0.99 -0.81 -0.96 -0.53 -0.97 -1
D07E09D -0.17 0.21 0.39 0.52 0.89 0.85 0.27 0.09 0.41 -0.38 -0.92 -0.5 -0.09 -0.97 -0.96 -0.98 -0.81 -0.94 -1 -1 -1 -0.93 -1 -1 -1 -1 -1 -1 0 -1 -0.95 -1 0.22 -0.83 -0.99 -1 -0.99 -0.99 -1 -0.99 -0.49 -1 -0.98 -0.98 -0.97 -0.97 -0.91 -0.89 -0.83 -0.96 -1 -0.99 -1 -0.53 -0.49 -1 -0.93 0.17 -1 -0.62 -0.64 -1 -0.99 -0.19 -0.03 -0.84 -1 -0.17 -0.95 -1 -0.82 -0.97 -0.66 -0.79 -0.97 -0.74 -0.94 0.38 -0.9 -1
D07E10D 0.92 0.86 0.99 0.94 1 1 0.88 0.82 0.97 0.79 -0.66 -0.69 -0.86 -0.96 -0.98 -0.99 -1 -0.67 -1 -1 -0.95 -0.66 -1 -1 -1 -1 -1 -1 -1 0 -0.97 -0.97 -0.71 -0.86 -0.96 -0.96 -0.82 -0.95 -0.82 -0.96 -0.36 -0.97 -0.87 -0.82 -0.61 -0.98 -0.7 -0.93 -0.46 -0.98 -1 -0.96 -1 -0.98 -0.83 -1 -0.91 0.03 -1 0.14 -0.63 -1 -0.85 -0.28 0.26 -0.92 -0.91 -0.18 -1 -1 -0.95 -0.99 -0.6 -0.39 -0.94 -0.84 -0.45 0.72 -0.99 -1
D14E01D 0.93 0.88 0.92 0.75 1 0.99 0.9 0.84 1 0.97 -0.7 -0.11 -0.85 -0.27 -0.87 -0.81 -0.05 -0.58 -0.95 -0.58 -0.15 -0.57 -0.99 -0.93 -0.61 -0.97 -0.87 -0.71 -0.95 -0.97 0 -1 -0.55 -0.92 -0.75 -0.96 -0.93 -0.9 -0.65 -0.87 -0.54 -0.99 -0.98 -0.89 -0.49 -0.58 -0.11 -0.93 -0.92 -0.91 -0.72 -0.95 -1 -1 -0.79 -0.99 -1 0.5 -0.99 -0.47 -0.81 -1 -1 -0.8 -0.92 -0.71 -0.94 -0.52 -0.99 -1 -0.99 -0.88 -0.68 -0.61 -0.96 0.09 -0.28 0.91 -0.85 -1
D14E02D 0.92 0.86 0.89 0.69 0.96 1 0.88 0.29 0.97 0.79 -0.87 -0.98 0.25 -0.98 -0.41 -0.98 -0.68 -0.41 -1 -0.92 -0.93 -0.99 -0.99 -1 -0.97 -0.98 -0.87 -0.99 -1 -0.97 -1 0 -0.97 -0.99 -0.85 -0.98 -1 -0.93 -1 -1 -0.94 -1 -1 -0.99 -0.82 -1 -0.96 -1 -0.86 -0.98 -0.95 -0.99 -1 -0.99 -0.85 -0.97 -1 -0.84 -0.98 -0.6 -0.77 -1 -1 -0.97 -0.89 -0.96 -1 0.12 -0.99 -1 -1 -0.99 -0.29 -0.98 -1 -0.73 -0.88 0.07 -0.98 -0.75
D14E03D 0.99 0.97 1 0.99 1 0.97 0.87 0.96 1 0.97 -0.45 -0.05 0.28 -1 -0.42 -0.33 0.08 0.85 -0.79 -0.06 -0.98 -0.61 -0.19 -0.6 -0.47 0.1 -0.89 -0.62 0.22 -0.71 -0.55 -0.97 0 -0.88 -0.21 -0.89 0.23 -0.23 -0.25 -0.88 0.14 0.36 -0.99 -0.09 -0.08 -0.85 -0.83 0.6 0.7 -0.02 -0.41 -0.11 -0.94 -0.34 0.94 -0.83 0.34 0.9 -0.17 -0.33 -0.04 -0.99 -0.18 -0.01 0.41 -0.46 -0.69 0.94 -0.51 -0.34 -0.9 -0.35 -0.05 0.13 -0.82 0.83 -0.06 0.92 0.34 -0.13
D14E04D 0.76 0.59 0.81 0.47 0.96 1 0.63 0.46 0.99 0.88 -0.9 -0.12 -0.69 -0.83 -0.65 -0.74 -0.87 0.32 -0.71 -0.01 0.46 -0.2 -0.83 -0.76 -0.92 -0.94 0.12 -0.94 -0.83 -0.86 -0.92 -0.99 -0.88 0 -0.82 -0.73 -0.94 -0.71 -0.14 -0.87 0.75 -0.87 -0.99 0.56 0.95 -0.99 -0.84 -0.93 -0.79 -0.86 -0.37 -0.96 -1 -0.91 0.65 -0.94 -0.94 -0.3 -0.61 0.88 -0.76 -1 -0.98 0.84 0.78 -0.56 -0.77 0.38 -0.92 -0.96 -0.9 -0.61 -0.07 -0.87 -0.85 0.47 -0.54 0.48 -0.99 -0.87
D14E05D 0.84 0.94 0.98 0.98 1 1 0.96 0.92 0.99 0.77 -0.58 -0.25 0.69 -0.77 -0.04 -0.45 -0.84 0.13 -1 -0.24 -0.54 0.15 -0.98 -0.7 -0.39 -0.98 -0.94 -1 -0.99 -0.96 -0.75 -0.85 -0.21 -0.82 0 -1 -1 -0.68 -0.16 -0.98 -0.61 -0.93 -0.95 -0.88 -0.07 -0.89 -0.86 -0.96 -0.22 -0.93 -0.8 -0.95 -1 -0.96 -0.76 -0.99 -0.31 0.65 -1 -0.27 -0.41 -1 -0.93 -0.88 -0.94 -0.83 -1 -0.82 -0.58 -1 0.06 -0.98 0.14 -0.97 -0.27 -0.45 -0.03 0.72 -0.88 -0.98
D14E06D 0.95 0.55 0.99 0.41 1 0.61 0.6 0.41 0.99 0.59 -0.74 -0.55 -0.09 -1 -0.61 -0.97 -0.28 -0.15 -1 -0.99 -0.88 -0.94 -0.99 -0.97 -0.9 -0.87 -0.88 -0.97 -1 -0.96 -0.96 -0.98 -0.89 -0.73 -1 0 -1 -0.96 -0.78 -0.97 -0.95 -0.98 -0.98 -1 -0.87 -1 -0.95 -1 -0.94 -1 -0.96 -0.87 -1 -0.74 -0.87 -0.99 -0.19 -0.84 -0.99 -0.99 -0.57 -1 -0.38 -1 -0.65 -1 -1 0.7 -1 -1 -0.99 -0.96 -0.3 -1 -0.99 -1 -0.69 0.06 -0.99 -1
D14E07D -0.48 0.32 0.85 -0.72 0.99 -0.17 -0.66 -0.42 0.99 0.29 -0.92 0.12 -0.69 -0.8 -0.61 -0.86 -0.27 -0.89 -0.99 -0.76 -0.44 -0.82 -0.99 -0.98 -0.89 -0.89 -1 -1 -0.99 -0.82 -0.93 -1 0.23 -0.94 -1 -1 0 -0.95 -0.91 -0.94 -0.12 -0.93 -0.68 -0.96 -0.58 -0.82 -0.99 -0.84 -0.85 -0.97 -0.99 -0.9 -1 -0.72 -0.17 -0.99 -0.97 -0.45 -1 0.85 0.22 -0.99 -0.99 -0.5 0.36 -0.95 -1 0.23 -0.99 -1 -0.96 -0.99 0.2 -0.96 -0.99 -0.93 -0.91 -0.65 -0.99 -1
D14E08D 0.95 0.91 0.95 0.97 1 1 0.93 0.87 0.99 0.98 -0.47 -0.72 0.87 -0.69 -0.43 -0.53 -0.06 -0.85 -1 0.09 -0.68 -0.91 -0.99 -1 -0.93 -1 -1 -0.99 -0.99 -0.95 -0.9 -0.93 -0.23 -0.71 -0.68 -0.96 -0.95 0 -0.88 -0.96 -0.87 -0.83 -0.99 0.64 -0.83 -0.8 0.55 -0.96 -0.49 -0.81 -0.9 -0.87 -1 -0.97 -0.91 -0.99 -0.81 -0.03 -0.94 -0.31 -0.23 -0.98 -0.21 -0.89 -0.81 -0.61 -0.78 -0.18 -0.89 -0.98 -0.87 -0.76 -0.3 0.21 -0.87 -0.45 -0.58 0.75 -0.08 -1
